engine_id,cycle,rpm,cht,egt,rul
1,1,1400.6,641.82,1589.7,191.0
1,2,1403.14,642.15,1591.82,190.0
1,3,1404.2,642.35,1587.99,189.0
1,4,1401.87,642.35,1582.79,188.0
1,5,1406.22,642.37,1582.85,187.0
1,6,1398.37,642.1,1584.47,186.0
1,7,1397.77,642.48,1592.32,185.0
1,8,1400.97,642.56,1582.96,184.0
1,9,1394.8,642.12,1590.98,183.0
1,10,1400.46,641.71,1591.24,182.0
1,11,1400.64,642.28,1581.75,181.0
1,12,1400.15,642.06,1583.41,180.0
1,13,1400.83,643.07,1582.19,179.0
1,14,1399.16,642.35,1592.95,178.0
1,15,1402.13,642.43,1583.82,177.0
1,16,1404.5,642.13,1587.98,176.0
1,17,1399.95,642.58,1584.96,175.0
1,18,1396.12,642.62,1591.04,174.0
1,19,1400.35,641.79,1587.56,173.0
1,20,1405.23,643.04,1581.11,172.0
1,21,1398.13,642.37,1586.07,171.0
1,22,1400.57,642.77,1592.93,170.0
1,23,1394.75,642.14,1588.19,169.0
1,24,1398.81,642.38,1590.83,168.0
1,25,1399.39,642.77,1594.1,167.0
1,26,1396.07,642.16,1589.08,166.0
1,27,1401.84,642.44,1590.47,165.0
1,28,1399.13,642.35,1582.84,164.0
1,29,1400.99,641.91,1584.83,163.0
1,30,1396.08,642.2,1593.52,162.0
1,31,1396.9,642.02,1584.18,161.0
1,32,1400.36,642.33,1591.38,160.0
1,33,1402.43,642.71,1588.4,159.0
1,34,1400.48,642.54,1581.47,158.0
1,35,1403.0,642.44,1590.0,157.0
1,36,1405.54,642.54,1581.72,156.0
1,37,1398.9,641.99,1579.11,155.0
1,38,1399.5,641.93,1589.6,154.0
1,39,1400.69,642.01,1583.21,153.0
1,40,1401.77,642.24,1582.08,152.0
1,41,1403.21,642.4,1591.31,151.0
1,42,1401.38,642.12,1584.66,150.0
1,43,1406.05,642.24,1591.52,149.0
1,44,1401.2,641.93,1586.94,148.0
1,45,1399.16,642.53,1582.42,147.0
1,46,1401.27,642.43,1588.29,146.0
1,47,1402.89,642.21,1580.32,145.0
1,48,1399.16,641.89,1588.51,144.0
1,49,1397.76,642.23,1584.35,143.0
1,50,1403.62,642.77,1588.49,142.0
1,51,1400.42,642.81,1585.54,141.0
1,52,1395.57,642.76,1583.77,140.0
1,53,1402.26,642.61,1579.82,139.0
1,54,1401.2,642.42,1592.59,138.0
1,55,1401.58,642.41,1584.95,137.0
1,56,1400.76,642.49,1586.33,136.0
1,57,1402.79,642.13,1583.67,135.0
1,58,1397.99,641.9,1590.46,134.0
1,59,1403.51,642.33,1596.72,133.0
1,60,1403.07,642.34,1582.75,132.0
1,61,1405.52,642.1,1583.55,131.0
1,62,1399.54,642.17,1581.59,130.0
